,Title,Publish_Date,Views,Likes,Comments,Identity
2631,거대한 초대형 왕돈까스 / giant pork cutlet - korean street food,2021-07-18,6263564,50178,1307,야미보이 Yummyboy
2632,참숯에 직접 굽는 수제 떡갈비 공장 / grilled giant meatball - korean street food,2021-07-16,583695,8984,334,야미보이 Yummyboy
2633,줄서서 먹는 알배기 꽃게 간장게장 양념게장 / soy sauce crab - korean street food,2021-07-14,1340496,8152,413,야미보이 Yummyboy
2634,줄서서 먹는 계란말이 김밥 / rolled omelet gimbap - korean street food,2021-07-12,1603318,19802,616,야미보이 Yummyboy
2635,수제 치즈 피자 공장 / cheese pizza factory - korean street food,2021-07-10,880623,15525,488,야미보이 Yummyboy
2636,계란 300개로 만드는 수제 와플 / homemade waffles made with 300 eggs - korean street food,2021-07-08,15122560,105147,2550,야미보이 Yummyboy
2637,줄서서 먹는 치즈 핫도그 / cheese hot dog - korean street food,2021-07-06,1271068,21078,555,야미보이 Yummyboy
2638,촉촉한 반숙 소시지 오므라이스 / egg sausage omelette - korean street food,2021-07-04,8946224,60767,1605,야미보이 Yummyboy
2639,가마솥 도넛 달인 / donut master - korean street food,2021-07-02,513197,8854,306,야미보이 Yummyboy
2640,꾸덕한 초코 떡 브라우니 / chocolate rice brownie - korean street food,2021-06-30,448833,11013,262,야미보이 Yummyboy
2641,불고기 핫도그 고로케 / fried hot dog croquette - korean street food,2021-06-28,2217888,26482,1442,야미보이 Yummyboy
2642,트리플 치즈 버거 / triple cheeseburger - korean street food,2021-06-26,1838816,34533,1478,야미보이 Yummyboy
2643,육즙이 살아있는 돈까스 / juicy pork cutlet - korean street food,2021-06-24,663882,11141,524,야미보이 Yummyboy
2644,귀여운 캐릭터 수제 캔디 만들기 / cute handmade candy making - korean street food,2021-06-22,7430109,92199,1563,야미보이 Yummyboy
2645,이탈리안 더블 치즈 피자 / Italian double cheese pizza - korean street food,2021-06-20,28613174,406890,11618,야미보이 Yummyboy
2646,가마솥 7개! 토종닭 가마솥 통닭 / crispy fried chicken - korean street food,2021-06-18,2023675,21701,991,야미보이 Yummyboy
2647,고슬고슬 중화 계란볶음밥 / egg fried rice - korean street food,2021-06-15,686275,12102,447,야미보이 Yummyboy
2648,"매일완판! 2만원대 왕족발 마늘 족발, 배달의 민족 랭킹 1위 / pork hock braised with soy sauce (Jokbal) - korean street food",2021-06-13,318993,5499,312,야미보이 Yummyboy
2649,자몽 치즈크림 수플레 팬케이크 / grapefruit cheese cream souffle pancake - korean street food,2021-06-11,274357,6135,187,야미보이 Yummyboy
2650,"치즈 대왕카스테라, 생크림 대왕카스테라 / cheese giant castella, cream giant castella  - korean street food",2021-06-09,386156,7873,237,야미보이 Yummyboy
2651,거대한 초대형 치즈 이불 피자 / giant cheese pizza - korean street food,2021-06-07,7848735,108209,4507,야미보이 Yummyboy
2652,20가지 예쁜 수제도넛 / 20 cute homemade donuts - korean street food,2021-06-05,486907,9780,338,야미보이 Yummyboy
2653,"줄서서 먹는 대왕김말이, 오징어튀김! 비트와 치자로 반죽 / giant seaweed roll, deep-fried squid - korean street food",2021-06-03,1689423,21802,428,야미보이 Yummyboy
2654,"미국식 치즈버거, 감자칩 무제한인 곳 / american style cheeseburger, free potato chips - korean street food",2021-06-01,637508,13655,482,야미보이 Yummyboy
2655,"계란 노른자 넣은! 햄 치즈 토스트 / egg yolk, ham cheese toast - korean street food",2021-05-30,380705,8588,301,야미보이 Yummyboy
2656,"생크림 와플, 직접 만든 수제잼 / waffle with whipped cream - korean street food",2021-05-29,949448,13182,450,야미보이 Yummyboy
2657,"대만 화교 3대째 중화요리! 짜장면 볶음밥 꿔바로우 / egg fried rice, black noodles - korean street food",2021-05-27,2209808,30839,734,야미보이 Yummyboy
2658,줄서서 먹는 함박 스테이크 / cheese hamburger steak with fried egg - korean street food,2021-05-25,602506,14028,475,야미보이 Yummyboy
2659,"줄서서 먹는 수제버거! 미국 베스트버거 어워드 1위, 빵 베이컨 소스 직접 만드는 곳 / homemade bacon cheeseburger - korean street food",2021-05-23,6991120,117961,3350,야미보이 Yummyboy
2660,"과일듬뿍! 생과일 타르트, 딸기 타르트 / fresh fruit tart - korean street food",2021-05-21,320449,6939,259,야미보이 Yummyboy
2661,"수제 크림 듬뿍! 슈크림 대왕홈런볼 / handmade cream puff, cream bread - korean street food",2021-05-19,479402,8976,263,야미보이 Yummyboy
2662,크림 치즈 팔쪽마늘빵 / cream cheese garlic bread - korean street food,2021-05-17,3273122,54249,2259,야미보이 Yummyboy
2663,"퀄리티 높은 꼬마 김밥, 대기손님 많은 곳 / egg omelet mini gimbap - korean street food",2021-05-15,377628,7502,249,야미보이 Yummyboy
2664,줄서서 먹는 초대형 솥뚜껑 닭볶음탕 / amazing spicy chicken soup - korean street food,2021-05-13,438325,8704,374,야미보이 Yummyboy
2665,벌통으로 쪄낸 잔기지떡 술떡 / korean traditional rice cake - korean street food,2021-05-11,273062,5592,175,야미보이 Yummyboy
2666,줄서서 먹는 더블 치즈 도넛 / double cheese donut - korean street food,2021-05-09,693532,11594,337,야미보이 Yummyboy
2667,크림가득! 울산 명물 해빵 / sun shaped bread with cream - korean street food,2021-05-07,19095255,128623,2259,야미보이 Yummyboy
2668,반숙 계란후라이 함박스테이크 / hamburger steak with fried egg - korean street food,2021-05-04,45929422,330540,14723,야미보이 Yummyboy
2669,"츄러스 치즈 핫도그, 초콜릿 츄러스 / churros cheese hot dog, chocolate churros - korean street food",2021-05-02,2352307,23211,527,야미보이 Yummyboy
2670,"떡 명인이 만드는 초콜릿 백설기, 특허 초코설기 / making chocolate rice cake - korean street food",2021-04-30,2519269,43793,592,야미보이 Yummyboy
2671,초대형 당구대 철판 삼겹살 달인 / giant iron plate pork belly - korean street food,2021-04-28,370454,7424,331,야미보이 Yummyboy
2672,전국에 하나 남은 바나나빵 공장 / sweet banana bread - korean street food,2021-04-26,4131391,12204,405,야미보이 Yummyboy
2673,생크림 듬뿍! 딸기 와플 / strawberry waffle with whipped cream - korean street food,2021-04-24,267818,6622,354,야미보이 Yummyboy
2674,"300도 버터를 부어 굽는, 솔트배 기버터 스테이크 / amazing steak boiled in 300 degree butter - korean street food",2021-04-22,22810524,217524,18677,야미보이 Yummyboy
2675,과자공장의 초대형 튀김솥으로 만드는 추억의 옛날 과자 똘뱅이 / confectionery factory making korean traditional snacks,2021-04-20,16205937,52846,1765,야미보이 Yummyboy
2676,녹차 아이스크림 딸기 크레페 / green tea ice cream strawberry crepe - korean street food,2021-04-18,2235318,24891,569,야미보이 Yummyboy
2677,"반숙 계란후라이 김치 볶음밥, 칼집 소시지 오므라이스 / omelet cheese fried rice - korean street food",2021-04-16,5452621,53359,1308,야미보이 Yummyboy
2678,치자반죽 수제 튀김 달인 / popular fried food by master - korean street food,2021-04-14,1451153,14071,426,야미보이 Yummyboy
2679,"직접 뽑아 만드는 차돌 떡볶이, 모듬튀김 / homemade tteokbokki, fried food - korean street food",2021-04-12,3628658,60959,977,야미보이 Yummyboy
2680,줄서서 먹는 화덕 치즈 피자 / Wood-fired oven cheese pizza - korean street food,2021-04-10,3685494,55116,1134,야미보이 Yummyboy
2681,현란한 스킬! 햄버거 달인의 옛날 햄버거와 토스트 / amazing skill! hamburger and toast master - korean street food,2021-04-08,8721017,59427,1859,야미보이 Yummyboy
2682,마늘범벅 압력솥 통닭 / garlic fried chicken - korean street food,2021-04-06,2236479,26363,1177,야미보이 Yummyboy
2683,"통 가래떡 떡볶이와 수제 튀김 / homemade Tteokbokki, fried food, fish cake - korean street food",2021-04-04,3519420,26873,656,야미보이 Yummyboy
2684,왕새우 고추 멘보샤 / shrimp chilli toast - korean street food,2021-04-02,740129,13520,653,야미보이 Yummyboy
2685,"수제 떡갈비로 만든 치즈돈까스 / homemade Tteokgalbi, cheese pork cutlet - korean street food",2021-03-31,3852639,59480,1399,야미보이 Yummyboy
2686,"파닭의 원조, 조치원 5000원 파닭! / fried chicken popular in the market - korean street food",2021-03-29,30185426,236593,8767,야미보이 Yummyboy
2687,매일 완판! 퀄리티 높은 수제 도넛 - 신촌 / homemade donuts of high quality - korean street food,2021-03-27,718988,14592,486,야미보이 Yummyboy
2688,여전히 인기있는 육쪽마늘빵 / garlic bread popular in the market - korean street food,2021-03-26,684041,13145,457,야미보이 Yummyboy
2689,"강남 철판요리 달인, 한우 스테이크 / amazing skill, teppanyaki steak master - korean street food",2021-03-25,838208,16241,715,야미보이 Yummyboy
2690,농부가 직접 심고 수확해 만드는 가마솥 고구마칩 / crispy sweet potato chips! made by farmers - korean street food,2021-03-23,338702,8178,333,야미보이 Yummyboy
2691,고슬고슬 중화 계란볶음밥 / egg fried rice - korean street food,2021-03-21,43068015,470263,19119,야미보이 Yummyboy
2692,매운 치즈 돈까스 / spicy cheese pork cutlet - korean street food,2021-03-19,378352,8866,327,야미보이 Yummyboy
2693,딸기 블루베리 아이스크림 와플 / strawberry blueberry ice cream waffle - korean street food,2021-03-17,683260,10907,376,야미보이 Yummyboy
2694,물 대신 양파 듬뿍! 4000원 무한리필 짜장면 / black bean noodles - korean street food,2021-03-15,308337,6828,570,야미보이 Yummyboy
2695,가마솥 고추 닭강정 / spicy sweet and sour chicken - korean street food,2021-03-13,2884527,57923,1414,야미보이 Yummyboy
2696,압구정 딸기 수플레 팬케이크 / strawberry souffle pancake - korean street food,2021-03-11,8517853,209533,3531,야미보이 Yummyboy
2697,딸기 블루베리 아이스크림 크레페 / strawberry blueberry ice cream crepe - korean street food,2021-03-09,10910763,86939,2241,야미보이 Yummyboy
2698,줄서서 먹는 튀김 떡볶이! 달인 출연한 곳 / Popular snacks in the korean market,2021-03-07,326257,6993,261,야미보이 Yummyboy
2699,"초콜릿 대왕카스테라, 고급계란 사용하는 곳 / chocolate giant castella - korean street food",2021-03-05,18390039,218403,3899,야미보이 Yummyboy
2700,귀여운 캐릭터 수제사탕 만들기 / cute handmade candy making - korean street food,2021-03-03,7092770,95675,3145,야미보이 Yummyboy
2701,핫핑크 치즈버거로 유명한 마미손 수제버거 / hot pink cheeseburger - korean street food,2021-03-01,449337,9515,378,야미보이 Yummyboy
2702,초대형 철판 계란말이 / giant rolled omelette - korean street food,2021-02-27,7888842,64103,860,야미보이 Yummyboy
2703,리얼 딸기 크리스피 크림 도넛! 생딸기 시즌메뉴 / Real Strawberry krispy kreme Donut - Korean Street Food,2021-02-26,240317,5866,232,야미보이 Yummyboy
2704,20가지 곡물과 견과류! 고소한 슈퍼푸드 강정 / 20 grains and nuts! superfood snack - korean street food,2021-02-24,162295,3725,200,야미보이 Yummyboy
2705,정교한 기술!  놀라운 수제캔디 만들기 - 충당 / amazing handmade candy making - korean street food,2021-02-22,6501789,115769,3608,야미보이 Yummyboy
2706,"만두만 20년째, 유명한 굴림만두 전문점 / korean dumpling hot pot, grilled dumplings - korean street food",2021-02-20,214824,4767,216,야미보이 Yummyboy
2707,"시장 퓨전 분식! 계란 오코노미 김밥, 비빔만두 / egg gimbap, spicy dumpling - korean street food",2021-02-17,630177,10858,320,야미보이 Yummyboy
2708,"3000원 등심돈까스, 수제 치즈돈까스! 좋은재료 원가 공급 / cheese pork cutlet, 3$ pork cutlet - korean street food",2021-02-15,1698350,24363,815,야미보이 Yummyboy
2709,"매일 완판! 수제 크림과일 도넛, 우유 생크림 도넛 / creamy fruit donuts, milk cream donuts - korean street food",2021-02-13,2176066,33471,896,야미보이 Yummyboy
2710,햄 더블 치즈 돈까스! 40년 전통경양식 / ham double cheese pork cutlet - korean street food,2021-02-11,5242696,77593,2651,야미보이 Yummyboy
2711,"매일완판! 수제 레인보우 베이글, 크림치즈 / organic rainbow bagel, cream cheese - korean street food",2021-02-09,15392585,76066,1949,야미보이 Yummyboy
2712,"반죽부터 직접! 화덕 치즈 피자, 20년 경력 달인 /  Wood-fired oven cheese pizza master - korean street food",2021-02-07,3398899,59699,2072,야미보이 Yummyboy
2713,"참나무 장작구이 통닭, 누룽지 치즈 통닭 / Oak wood-grilled whole chicken with cheese - korean street food",2021-02-05,681180,10915,569,야미보이 Yummyboy
2714,"거대한 철판 떡볶이 달인, 40년 된 영주 랜떡 / Korean popular snack, tteokbokki - korean street food",2021-02-03,300989,7086,365,야미보이 Yummyboy
2715,"두툼한 함박스테이크 패티, 4500원짜리 수제버거 / Thick hamburger steak burger for 4 dollar - korean street food",2021-02-01,1003906,15689,859,야미보이 Yummyboy
2716,"둥지크기! 회오리 오믈렛 라이스, 부산에서 유명한 곳 / nest size! tornado omelet rice - korean street food",2021-01-30,1686970,30528,855,야미보이 Yummyboy
2717,신기한 폭탄 초콜릿 만들기! 최현석 셰프의 디저트 카페 / amazing skill of making bomb chocolate - korean street food,2021-01-29,370312,6354,356,야미보이 Yummyboy
2718,"호랑이 대왕카스테라, 치즈카스테라 / giant cheese jiggly cake, tiger cake - korean street food",2021-01-27,778662,11416,401,야미보이 Yummyboy
2719,"새콤달콤! 수제 과일 초콜릿바, 후르츠바 / handmade fruit chocolate bar - korean street food",2021-01-25,864138,17830,526,야미보이 Yummyboy
2720,안동에서 유명한 버버리 찰떡 / traditional rice cake popular in Korea - korean street food,2021-01-23,1462699,13299,607,야미보이 Yummyboy
2721,미국식 수제 크리스피 치즈버거 / American Style Crispy Cheeseburger - Korean street food,2021-01-21,511902,10411,713,야미보이 Yummyboy
2722,"60년전통, 내장 특수부위 모듬순대, 암뽕순대, 피순대 / korean sausage, pork intestine - korean street food",2021-01-19,625514,6236,729,야미보이 Yummyboy
2723,가장 큰 초대형 붕어빵 / Giant Fish-Shaped Bread - Korean Street Food,2021-01-17,490730,7766,409,야미보이 Yummyboy
2724,"1억개 넘게 팔린 곤약 쫀드기, 매운 쫀드기 / korean chewy snack - korean street food",2021-01-15,528741,7560,372,야미보이 Yummyboy
2725,"과일듬뿍! 넣어주는 과일타르트, 고급 유기농 재료 사용하는 곳 / organic fruit tart - korean street food",2021-01-13,1125266,18420,499,야미보이 Yummyboy
2726,"계란후라이 치즈폭탄버거, 군산에서 유명한 곳 / fried egg cheeseburger - korean street food",2021-01-11,8210061,133299,6604,야미보이 Yummyboy
2727,웍으로 만드는 대형계란말이 튀김 / amazing skill of making giant egg rolls - korean street food,2021-01-09,1809907,19712,856,야미보이 Yummyboy
2728,독일에서 금메달 받은 한국 토종 소시지 / Making amazing sausages - sausage factory in korea,2021-01-07,9634683,60707,1750,야미보이 Yummyboy
2729,"화과자 명인, 곶감을 넣어 만든 과일 화과자 / traditional japanese sweets, flower cake - korean street food",2021-01-06,356663,6821,256,야미보이 Yummyboy
2730,구워먹는 찹쌀떡 / Grilled sticky rice cake - korean street food,2021-01-04,229469,3971,245,야미보이 Yummyboy
2731,"치즈듬뿍! 모듬분식, 수제로 만드는 곳 / mozzarella cheese with popular street snack - korean street food",2021-01-03,5523566,55181,1592,야미보이 Yummyboy
2732,단짠단짠 브라운치즈 와플 / Brown Cheese Waffle - Korean street food,2021-01-02,243160,4148,303,야미보이 Yummyboy
2733,야미보이 길거리음식 Top10 / Yummyboy Street Food Top10,2021-01-01,24922976,155242,5817,야미보이 Yummyboy
2734,솜사탕 아이스크림 과일 브리또 / Cotton Candy Ice Cream Fruit Britto - Korean Street Food,2020-12-31,7158680,89145,3510,야미보이 Yummyboy
2735,구운 치즈 랍스터 / grilled cheese lobster  - korean street food,2020-12-30,323782,6824,306,야미보이 Yummyboy
2736,2000원짜리 계란후라이 수제패티 버거 / fried egg burger - korean street food,2020-12-29,705593,8286,426,야미보이 Yummyboy
2737,"쫀득한 호떡 / korean sugar pancake, hotteok - korean street food",2020-12-27,481597,7648,305,야미보이 Yummyboy
2738,"딸기 누텔라 생크림 와플, 생과일만 사용 / nutella fruit waffle with whipped cream - korean street food",2020-12-26,3339634,10787,391,야미보이 Yummyboy
2739,초코 퐁당 와플 / Chocolate Waffles - Korean Street Food,2020-12-25,7426874,74223,1817,야미보이 Yummyboy
2740,"생크림으로 가득찬, 72겹 페스츄리 식빵 / 72-ply Pastry Cream Bread - Korean Street Food",2020-12-24,828489,13583,373,야미보이 Yummyboy
2741,흑돼지 치즈 김말이 / fried pork cheese roll - korean street food,2020-12-23,200692,4302,202,야미보이 Yummyboy
2742,"갈릭 에그 토스트, 수제 마늘 소스 / Garlic Egg Toast - Korean Street Food",2020-12-22,14346251,83629,2855,야미보이 Yummyboy
2743,과일 초콜릿 도넛! 반죽부터 소스까지 직접 만드는 곳 / fruit chocolate donuts - korean street food,2020-12-21,641229,12812,297,야미보이 Yummyboy
2744,반숙 계란후라이 중화 볶음밥 / fried egg on fried rice - korean street food,2020-12-19,60717813,294157,14458,야미보이 Yummyboy
2745,대만식 계란 토스트 / taiwanese style egg toast - korean street food,2020-12-18,4779677,50053,1335,야미보이 Yummyboy
2746,콤비네이션 피자 와플 / Combination Pizza Waffle - Korean street food,2020-12-17,29251779,152443,5614,야미보이 Yummyboy
2747,촉촉한 반숙 오므라이스 / egg omelette - korean street food,2020-12-16,5703808,115350,3081,야미보이 Yummyboy
2748,초콜릿 아이스크림 크레페 / Chocolate Ice Cream Crepe - Korean Street Food,2020-12-15,8507565,78944,1510,야미보이 Yummyboy
2749,"꾸덕한 콩크림빵, 생활의 달인 빵집 / Bean Cream Bread - Korean Street Food",2020-12-14,226339,4270,167,야미보이 Yummyboy
2750,"페퍼로니 피자빵, 우리밀 달인 빵집 / pepperoni pizza bread - korean street food",2020-12-13,4015789,56465,1444,야미보이 Yummyboy
2751,가장 큰 초대형 크레페 / giant crepe - korean street food,2020-12-11,2043473,39651,1573,야미보이 Yummyboy
2752,"깨끗한 새기름, 바삭한 즉석 튀김! / clean new oil, crispy fried food - korean street food",2020-12-10,245424,4004,218,야미보이 Yummyboy
2753,"줄서서 먹는 어묵, 매운어묵, 순대꼬치 - 서문시장 / popular street snack, fish cake - korean street food",2020-12-09,196299,4253,231,야미보이 Yummyboy
2754,"납작만두, 호떡, 어묵, 36년된 단골 많은 곳 / flat dumplings, sweet pancake, fish cake - korean street food",2020-12-08,319914,4337,216,야미보이 Yummyboy
2755,"패티만 1kg, 초대형 치즈버거! 빵부터 소스까지 직접 만드는 곳 / giant cheeseburger - korean street food",2020-12-07,7350755,114588,4513,야미보이 Yummyboy
2756,"호떡 달인의 찹쌀 호떡, 매일 줄서서 먹는 곳 / sweet pancake, hotteok - korean street food",2020-12-05,366826,5250,235,야미보이 Yummyboy
2757,소시지 치즈 토스트 / sausage cheese toast - korean street food,2020-12-04,1075370,16443,473,야미보이 Yummyboy
